time,unix1,unix2,unix3,unix4,unix5,unix6,unix7,unix8
15:17:51.116,80.8053,90.3701,108.782,127.584,122.053,123.014,121.802,121.526
15:17:51.157,82.1907,91.9751,110.803,130.035,124.374,125.357,124.118,123.834
15:17:51.187,83.4367,93.4196,112.624,132.24,126.464,127.465,126.202,125.914
15:17:51.214,84.559,94.7197,114.265,134.226,128.346,129.363,128.078,127.783
15:17:51.243,85.5691,95.8897,115.739,136.014,130.037,131.071,129.766,129.468
15:17:51.273,86.4782,96.9427,117.066,137.621,131.56,132.608,131.286,130.982
15:17:51.303,87.2984,97.8904,118.26,139.068,132.929,133.991,132.653,132.345
15:17:51.331,88.0335,98.7444,119.335,140.37,134.162,135.236,133.881,133.573
15:17:51.347,88.6962,99.513,120.302,141.543,135.272,136.357,134.989,134.679
15:17:51.373,89.2926,100.204,121.173,142.599,136.27,137.367,135.985,135.672
15:17:51.402,89.8313,100.826,121.957,143.548,137.169,138.275,136.882,136.568
15:17:51.432,90.3132,101.386,122.662,144.402,137.977,139.092,137.689,137.372
15:17:51.459,90.7479,101.889,123.297,145.172,138.706,139.826,138.416,138.096
15:17:51.486,91.1411,102.343,123.87,145.865,139.361,140.488,139.071,138.749
15:17:51.514,91.495,102.752,124.386,146.487,139.951,141.084,139.659,139.337
15:17:51.540,91.8115,103.12,124.849,147.049,140.481,141.621,140.186,139.865
15:17:51.570,92.0983,103.45,125.265,147.554,140.959,142.103,140.663,140.341
15:17:51.585,92.3545,103.748,125.639,148.008,141.388,142.534,141.09,140.768
15:17:51.613,92.587,104.016,125.978,148.417,141.775,142.926,141.476,141.154
15:17:51.639,92.7943,104.257,126.283,148.785,142.124,143.277,141.823,141.5
15:17:51.666,92.9829,104.475,126.558,149.116,142.437,143.594,142.137,141.813
15:17:51.694,93.1506,104.67,126.805,149.415,142.719,143.878,142.418,142.093
15:17:51.720,93.3016,104.845,127.026,149.683,142.972,144.132,142.669,142.344
15:17:51.750,93.4394,105.004,127.226,149.925,143.201,144.363,142.897,142.571
15:17:51.777,93.5635,105.146,127.407,150.144,143.406,144.572,143.103,142.775
15:17:51.806,93.6751,105.275,127.569,150.342,143.592,144.76,143.287,142.958
15:17:51.835,93.7756,105.392,127.715,150.518,143.758,144.928,143.454,143.125
15:17:51.863,93.866,105.499,127.845,150.678,143.908,145.08,143.604,143.276
15:17:51.892,93.9474,105.595,127.963,150.822,144.042,145.216,143.739,143.411
15:17:51.909,94.0207,105.679,128.07,150.952,144.163,145.338,143.86,143.531
15:17:51.938,94.0866,105.756,128.164,151.069,144.272,145.448,143.969,143.639
15:17:51.969,94.148,105.825,128.25,151.172,144.372,145.548,144.068,143.738
15:17:51.994,94.2012,105.889,128.328,151.267,144.461,145.637,144.156,143.827
15:17:52.020,94.249,105.945,128.401,151.352,144.54,145.717,144.236,143.906
15:17:52.046,94.2941,105.996,128.463,151.429,144.611,145.789,144.307,143.976
15:17:52.072,94.3327,106.042,128.522,151.498,144.676,145.855,144.371,144.039
15:17:52.101,94.3675,106.083,128.573,151.56,144.734,145.913,144.429,144.097
15:17:52.134,94.3987,106.12,128.619,151.614,144.786,145.964,144.481,144.148
15:17:52.164,94.4268,106.153,128.66,151.665,144.832,146.011,144.526,144.193
15:17:52.190,94.4522,106.183,128.699,151.71,144.874,146.054,144.569,144.235
15:17:52.216,94.4749,106.211,128.734,151.751,144.912,146.093,144.607,144.274
15:17:52.242,94.4954,106.235,128.766,151.79,144.947,146.128,144.642,144.31
15:17:52.268,94.5159,106.257,128.794,151.825,144.978,146.157,144.674,144.34
15:17:52.294,94.5323,106.277,128.82,151.855,145.006,146.185,144.701,144.367
15:17:52.321,94.5471,106.295,128.843,151.883,145.031,146.211,144.726,144.391
15:17:52.348,94.5624,106.31,128.863,151.907,145.054,146.234,144.749,144.413
15:17:52.377,94.5761,106.325,128.882,151.93,145.075,146.254,144.77,144.433
15:17:52.404,94.5865,106.338,128.899,151.951,145.093,146.273,144.788,144.452
15:17:52.433,94.5959,106.352,128.915,151.97,145.11,146.289,144.805,144.468
15:17:52.463,94.6063,106.362,128.926,151.988,145.125,146.305,144.821,144.482
15:17:52.489,94.6157,106.371,128.939,152.004,145.139,146.318,144.833,144.497
15:17:52.515,94.6221,106.382,128.951,152.018,145.15,146.33,144.845,144.508
15:17:52.540,94.6279,106.39,128.961,152.03,145.16,146.341,144.856,144.519
15:17:52.565,94.6351,106.399,128.971,152.041,145.169,146.351,144.865,144.528
15:17:52.590,94.6416,106.407,128.979,152.052,145.177,146.36,144.874,144.536
15:17:52.604,94.6474,106.414,128.987,152.062,145.185,146.368,144.881,144.545
15:17:52.634,94.6527,106.421,128.993,152.07,145.193,146.376,144.889,144.554
15:17:52.658,94.6584,106.427,128.999,152.078,145.198,146.383,144.896,144.561
15:17:52.685,94.6626,106.432,129.004,152.085,145.204,146.388,144.902,144.566
15:17:52.708,94.6663,106.435,129.01,152.09,145.208,146.391,144.906,144.571
15:17:52.734,94.6697,106.437,129.015,152.095,145.212,146.396,144.912,144.575
15:17:52.757,94.6727,106.442,129.019,152.101,145.217,146.399,144.916,144.577
15:17:52.780,94.6754,106.446,129.022,152.106,145.221,146.403,144.919,144.58
15:17:52.804,94.6789,106.449,129.025,152.109,145.225,146.407,144.923,144.583
15:17:52.826,94.682,106.452,129.028,152.115,145.229,146.41,144.927,144.586
15:17:52.850,94.6848,106.455,129.032,152.118,145.232,146.413,144.929,144.588
15:17:52.863,94.6863,106.457,129.034,152.12,145.235,146.414,144.931,144.591
15:17:52.884,94.6887,106.462,129.039,152.125,145.237,146.416,144.934,144.595
15:17:52.907,94.6898,106.464,129.043,152.127,145.24,146.419,144.936,144.596
15:17:52.931,94.6918,106.465,129.047,152.13,145.242,146.419,144.938,144.597
15:17:52.953,94.6937,106.467,129.048,152.132,145.242,146.421,144.939,144.599
15:17:52.966,94.6943,106.468,129.049,152.136,145.244,146.424,144.94,144.602
15:17:52.990,94.6959,106.471,129.052,152.137,145.246,146.425,144.942,144.603
15:17:53.013,94.6973,106.474,129.053,152.14,145.247,146.428,144.944,144.605
15:17:53.035,94.7005,106.477,129.054,152.143,145.248,146.429,144.946,144.608
15:17:53.057,94.7035,106.477,129.056,152.144,145.25,146.431,144.947,144.608
