time,unix1,unix2,unix3,unix4,unix5,unix6,unix7,unix8
21:54:49.679,19.9201,20.4467,19.8806,19.9931,133.7,134.79,133.455,133.729
21:54:49.712,19.9191,20.451,19.8805,19.9928,134.855,135.956,134.607,134.873
21:54:49.735,19.9182,20.4549,19.8815,19.9925,135.918,137.028,135.669,135.943
21:54:49.759,19.9174,20.4584,19.8813,19.9933,136.964,138.083,136.711,137.007
21:54:49.785,19.9166,20.4596,19.8782,19.993,137.96,139.088,137.704,138.003
21:54:49.812,19.916,20.4626,19.8764,19.9927,138.801,139.933,138.538,138.824
21:54:49.836,19.9184,20.4654,19.8767,19.9904,139.468,140.609,139.207,139.502
21:54:49.860,19.9175,20.4698,19.8751,19.9914,140.185,141.334,139.924,140.236
21:54:49.874,19.9168,20.4719,19.8736,19.9912,140.842,141.997,140.579,140.885
21:54:49.900,19.9161,20.4737,19.8752,19.9921,141.282,142.442,141.019,141.327
21:54:49.926,19.9135,20.4753,19.8727,19.9929,141.834,143,141.57,141.875
21:54:49.951,19.9141,20.4768,19.8734,19.9926,142.192,143.36,141.924,142.215
21:54:49.974,19.9137,20.4801,19.8741,19.9923,142.507,143.677,142.238,142.536
21:54:49.999,19.9144,20.4791,19.8727,19.9931,142.869,144.044,142.601,142.92
21:54:50.023,19.9139,20.4802,19.8714,19.9938,143.266,144.446,142.997,143.326
21:54:50.038,19.9135,20.4812,19.8703,19.9944,143.598,144.779,143.326,143.643
21:54:50.061,19.9132,20.484,19.8712,19.995,143.788,144.97,143.516,143.84
21:54:50.073,19.9109,20.4846,19.8701,19.9955,144.082,145.266,143.807,144.127
21:54:50.099,19.9118,20.4852,19.8711,19.9949,144.208,145.393,143.932,144.254
21:54:50.124,19.9096,20.4857,19.869,19.9954,144.475,145.663,144.2,144.521
21:54:50.151,19.9096,20.4841,19.8681,19.9949,144.622,145.81,144.346,144.644
21:54:50.175,19.9127,20.4847,19.8693,19.9954,144.683,145.871,144.408,144.706
21:54:50.200,19.9124,20.4852,19.8684,19.9949,144.885,146.075,144.61,144.926
21:54:50.224,19.9122,20.4857,19.8665,19.9944,145.085,146.279,144.811,145.127
21:54:50.248,19.9119,20.4841,19.8659,19.9939,145.139,146.333,144.865,145.162
21:54:50.272,19.9128,20.4847,19.8683,19.9935,145.147,146.34,144.871,145.155
21:54:50.294,19.9135,20.4852,19.8695,19.9932,145.168,146.364,144.895,145.185
